ID,Pressure,Time,DeviceID
93A20204-2FFB-69F9-7E1A-51DAE4523B1C,48.578,01/12/18 0:00,1
4C1B171D-47A6-7649-9339-D65C483B68D2,48.109,01/12/18 1:00,1
E52EFCE5-3C51-78BE-74E0-DB9E035669F3,50.010,01/12/18 2:00,1
99BE7E49-3FD0-A3B9-6F0F-BE54A50D866D,49.771,01/12/18 3:00,1
22C5D988-7877-466A-44C8-53F3393B9389,44.383,01/12/18 4:00,1
AFC4F475-54E6-504E-1B95-0E56759F8684,52.657,01/12/18 5:00,1
7F7ACC2D-6190-23A7-0B15-EFAE2A92A003,50.416,01/12/18 6:00,1
E058236A-46F3-141C-A00F-A32FD7842D0D,44.537,01/12/18 7:00,1
B147942C-44C8-4F48-0662-A7D96EF24058,45.544,01/12/18 8:00,1
106E70E5-5CAE-8966-226B-563039D32C10,49.152,01/12/18 9:00,1
084FBDB4-1E40-70D9-7617-A1BEC8652FF8,49.327,01/12/18 10:00,1
797EB344-A48A-77A9-0182-048AA1CC0CE9,48.808,01/12/18 11:00,1
F1090D7C-6773-65B0-0349-B965E83D3857,47.738,01/12/18 12:00,1
5E52B70F-8057-060A-9A79-EA4F4EE8300F,51.285,01/12/18 13:00,1
D91A7D68-525A-09B6-160F-295239DB34AC,47.690,01/12/18 14:00,1
37B6A405-9214-7869-418D-9178429292AC,49.593,01/12/18 15:00,1
998AA9E3-17DF-9108-38E1-A06B843E1B2D,46.396,01/12/18 16:00,1
5DC11E87-28E3-93C3-02B8-A4B911ADA368,51.816,01/12/18 17:00,1
C080F9D0-3089-3B9C-0807-F86C4BDB74D7,45.472,01/12/18 18:00,1
6821AFD3-72DC-1AB3-31BD-8203A07D2B51,48.869,01/12/18 19:00,1
19D3BCFE-0353-36B2-8BFC-D648F51F8583,49.867,01/12/18 20:00,1
698552F3-2AFA-7A32-1FA3-31F5C65A94B8,50.309,01/12/18 21:00,1
0D8C2CC0-9546-63F5-1D54-7BB023E50105,50.664,01/12/18 22:00,1
0910EFFA-85BC-85C7-2C02-DBB1E0057D83,53.338,01/12/18 23:00,1
566EA532-093C-2203-8189-1A9685707D80,52.619,02/12/18 0:00,1
7DA0FE5E-75F0-6FD3-9089-6EB43D5E2417,53.513,02/12/18 1:00,1
8DA37E3D-725A-19F0-67A7-F9AB5F880CF2,53.100,02/12/18 2:00,1
5208F335-096B-A479-953C-6D3473298151,52.266,02/12/18 3:00,1
CF3F6DA6-6235-5D06-46FD-38224C6A4791,52.916,02/12/18 4:00,1
DDE5B4BD-A4A0-67BC-A54E-77D582790949,53.548,02/12/18 5:00,1
DE46635E-27A6-6641-7485-C1D6ED5A3EF8,52.085,02/12/18 6:00,1
9FDAFDA2-9BE7-7CFA-4694-39723AB637FC,46.580,02/12/18 7:00,1
3AA28B02-6B77-21DF-309D-0E773B2B2E15,48.976,02/12/18 8:00,1
3D8CD2BA-0776-55C9-63B5-945BCD7C7F8C,49.400,02/12/18 9:00,1
5096070F-79A2-2189-931A-B60DD3CD8291,48.432,02/12/18 10:00,1
C2E98FE2-906C-512A-584E-9810216F6479,46.077,02/12/18 11:00,1
13253B7C-A389-3A17-9C86-982F853C7B77,51.877,02/12/18 12:00,1
C77B6296-757B-3841-098C-F8C3177C72DD,47.770,02/12/18 13:00,1
5D1A5D17-2D95-899D-33EA-906474A56562,48.524,02/12/18 14:00,1
25F74407-81A0-2110-25F3-1D4D5E9E99A5,51.799,02/12/18 15:00,1
95523585-39FB-2BC5-5132-CF9F022D8ACB,50.109,02/12/18 16:00,1
FB40096F-18B8-9598-5E7D-911E8EF03F24,51.120,02/12/18 17:00,1
09D8E515-A281-A276-24A8-41ECA8E0240C,47.527,02/12/18 18:00,1
C4E22202-09E8-969C-35C9-4313B1EF7B8C,48.533,02/12/18 19:00,1
ACDA9AE4-8AD7-28FD-4BFD-6C6C57782CF6,50.348,02/12/18 20:00,1
