ID,Water Quality,Time,DeviceID
96706B83-62B6-7EA3-20D0-CF5907A43D7A,6.7,01/12/18 0:00,1
81254BEB-10FE-2A4F-58F5-C1AFEBF48BA1,4.6,01/12/18 1:00,1
5B8282BB-8BE7-33FE-79A8-3CF1F2017FD4,4.8,01/12/18 2:00,1
6D3A5770-7F11-0249-5A97-1AA4417C3BD8,4.1,01/12/18 3:00,1
D72EEEF2-A6B9-39BA-1C4F-0928D5A54F6E,5.7,01/12/18 4:00,1
9522EC7F-69BB-1AEC-070F-FEF072010348,5.4,01/12/18 5:00,1
9C66E838-2A25-6192-6F44-08E3512A048C,4.1,01/12/18 6:00,1
5DAE7AF1-4177-9482-2F1F-72F1AD8CA246,5.6,01/12/18 7:00,1
BA1D2523-0D88-98D6-9DA8-BC8924FD525D,5.5,01/12/18 8:00,1
571FEEF3-644E-149B-4AB6-0693B4DB7B96,4.4,01/12/18 9:00,1
04F81E04-9B6A-7A98-A1D5-EE1296B35935,6.4,01/12/18 10:00,1
BA2D1575-6A96-3864-8DC4-CD310A0005FB,6.3,01/12/18 11:00,1
6EF7DFAD-1757-2996-89B1-8BECB9F995CE,6.4,01/12/18 12:00,1
45FFFF3F-48AB-2EFC-4FE2-09DA804F14BB,5.1,01/12/18 13:00,1
8EA6DF0B-22F2-94FF-3803-6DF9E20B96C8,4.4,01/12/18 14:00,1
B936D717-92B1-1101-519B-D69450F75DDF,5.7,01/12/18 15:00,1
928EA01C-0204-64EF-659B-19ADD19C532E,4.4,01/12/18 16:00,1
9726FD81-61DD-6F0D-1914-1C98F3DE9F46,4.4,01/12/18 17:00,1
8BE636BB-4C21-3DD5-28BD-35E0A59B2194,4.8,01/12/18 18:00,1
2B7DBECA-37E6-3339-0133-0DE930836E1D,4.7,01/12/18 19:00,1
F3E2979F-4E1A-101F-7C70-0E988B5065FC,4.7,01/12/18 20:00,1
DC3F7D75-5720-3113-09FB-7A239EDF5DEF,7.8,01/12/18 21:00,1
816E4D36-36E0-8565-205E-69C1334232D8,3.7,01/12/18 22:00,1
EF2DC42D-8C07-5C58-0DB0-E461063D8939,6.0,01/12/18 23:00,1
D5CD6F85-4F22-66DB-0941-E3C7D8C600FF,6.3,02/12/18 0:00,1
FBE2A525-8262-8E27-9C20-2D99770E6815,3.9,02/12/18 1:00,1
ADDA2755-1E7A-628E-5EED-749F1E5D8296,4.7,02/12/18 2:00,1
C07CD36B-1E31-A790-2E0F-6DC2FE1D1B7F,5.6,02/12/18 3:00,1
3D45E520-538E-29DD-7720-4C4BAA8D4F6C,4.9,02/12/18 4:00,1
4EB98A1B-2A7D-6DC5-9A0E-7C40E84E73C8,4.9,02/12/18 5:00,1
D80A0F75-0341-16E3-6C9A-4F156F4C5622,3.8,02/12/18 6:00,1
91395A63-285B-5F24-64D0-ECC0313C7C14,4.6,02/12/18 7:00,1
F846573F-158F-43F7-58AB-7BA1D71D1359,5.0,02/12/18 8:00,1
3626A786-3E4D-9994-6141-0B4BF58D7024,6.2,02/12/18 9:00,1
7BE76BEA-2F47-7656-55CB-2E407D5A9C8A,6.8,02/12/18 10:00,1
E4D13E64-4CC9-8E6D-8369-FA313521814E,6.3,02/12/18 11:00,1
0D6E7D1C-1281-A27A-49E9-7A5696CC8EE1,4.3,02/12/18 12:00,1
