ID,WaterUnits,Time,DeviceID
dd4ada55-efad-4faa-96ae-f3d984a82ccb,1000.93,12/01/18 0:00,1
66bf0cfc-a266-4b2d-b398-506c226ccfe4,933.69,12/02/18 0:00,1
0cc32228-5975-442b-8662-3109f4404fb4,881.62,12/03/18 0:00,1
6d613e44-e6fc-4f73-99cb-4dba62ddab0a,846.37,12/04/18 0:00,1
f8f76c59-7d94-46d9-8cd3-94c1a93511f3,813.99,12/05/18 0:00,1
db406e65-2de3-440a-bf56-dab4617ac24c,986.91,12/06/18 0:00,1
3a3ed04e-92f3-49a0-b047-8bc13a38ba0e,1171.3,12/07/18 0:00,1
4aa0ce7a-7945-44ab-a6bf-62c03c23fe85,1155.5,12/08/18 0:00,1
3a1d1e9c-d788-4643-a1fd-c12f08f31df2,1000.4,12/09/18 0:00,1
08991e58-28da-4df7-ba53-6a9992a68cf4,1099.4,12/10/18 0:00,1
daf4745b-115a-478d-b712-84370950c3cb,1060.5,12/11/18 0:00,1
cc79981c-ee6f-4213-bedd-f1aa5269fde2,1214.1,12/12/18 0:00,1
cb76409d-1940-4a35-ae7a-50c724df376a,830.87,12/13/2018 0:00,1
19922700-52fa-4d5b-b71f-ff3997bdf888,1132.3,12/14/2018 0:00,1
91423903-0a86-4c94-8931-d8c97c08b9b1,929.21,12/15/2018 0:00,1
a60aad39-fd26-4ef9-8d99-f4bce02906e4,1075.5,12/16/2018 0:00,1
909f36a0-d65d-4300-b2f4-8aa96a3770ed,1000.5,12/17/2018 0:00,1
5fab799a-7d91-4864-804e-a0ee80845745,958.41,12/18/2018 0:00,1
44ff234f-62c9-42e5-bc3d-cfdb24f10d42,996.2,12/19/2018 0:00,1
c20afeb2-f1ce-43ae-8d1e-89aadc3b4554,986.48,12/20/2018 0:00,1
7d028d9b-b4bb-4e46-85c8-2c36931648d6,1099.9,12/01/18 0:00,2
2e437706-ccf2-405d-bb51-0a26e478e084,1055.5,12/02/18 0:00,2
f793f6ee-554b-422e-b2ad-0e7d7b05d7c1,1073,12/03/18 0:00,2
9ebfe96e-fe8f-48d6-a5e3-1499c5bdec1e,1017.3,12/04/18 0:00,2
3771148c-00a1-47b3-bfd6-16568c2de52d,1033.2,12/05/18 0:00,2
c8ea6a90-9a75-4af1-b79e-e7fc091500a7,892.8,12/06/18 0:00,2
f4d564e5-e4ea-4730-b352-529e7014c5f6,1100.4,12/07/18 0:00,2
16bf734a-2f0e-4857-b207-458af15d685e,983.6,12/08/18 0:00,2
2da3e39d-0999-4843-ba0b-407d6255a8b3,970.71,12/09/18 0:00,2
7dfff264-1a7b-408e-9f06-1b49c6aa1896,1136.9,12/10/18 0:00,2
